text,label,clean_text,target,adj_text
Olvi expects sales and market share to increase in the first quarter of 2010 .,positive,olvi expects sale market share increase first quarter,1,expects
Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,positive,operating profit increased eur mn eur mn corresponding period,1,increased eur corresponding
Operating profit of the Asian plants grew markedly .,positive,operating profit asian plant grew markedly,1,grew
"Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 .",positive,operating profit totaled eur mn eur mn,1,totaled eur
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",positive,operating profit totalled eur mn eur mn yearonyear,1,totalled eur
Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,positive,production capacity increase tonne per year raw material continue recycled paper board,1,raw recycled
Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn .,positive,profit period increased eur mn eur mn,1,increased eur
"Profit per share was EUR 1.03 , up from EUR 0.87 .",positive,profit per share eur eur,1,
Return on capital employed rose by 4.8 percentage points to 19.6 % .,positive,return capital employed rose percentage point,1,employed rose
"Revenue from July to September grew 21 percent to EURO 2.3 billion , the Finnish company said Thursday .",positive,revenue july september grew percent euro billion finnish company said thursday,1,september grew percent euro finnish said
Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,positive,revenue grew percent euro million u million euro million,1,grew percent euro u
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive,ruukki order book end yearonyear quarteronquarter,1,yearonyear
Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS .,positive,ruukki signed contract norwegian company veidekke entreprenor,1,signed norwegian
Sales in Finland rose by 3.9 % and international growth was 0.7 % .,positive,sale finland rose international growth,1,rose international
Sales of security and system packaging increased slightly .,positive,sale security system packaging increased slightly,1,increased
Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,positive,stora enso thirdquarter pretax profit doubled eur mn,1,enso thirdquarter pretax doubled eur
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",positive,strongest growth seen new market russia czech republic slovakia,1,strongest seen new czech republic
"The airline has ordered nine Airbus A350-900 aircraft with deliveries from 2011 , and in doing so becomes the lead airline for the latest variant of Rolls-Royce Trent series engines , called the 1700 .",positive,airline ordered nine airbus aircraft delivery becomes lead airline latest variant rollsroyce trent series engine called,1,ordered becomes lead latest variant called
"The company is now intensifying its smelter operations and increasing its annual production capacity to 230,000 tonnes of copper .",positive,company intensifying smelter operation increasing annual production capacity tonne copper,1,intensifying increasing annual tonne
The company 's market share is continued to increase further .,positive,company market share continued increase,1,continued
"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 .",positive,company scheduled traffic measured revenue passenger kilometre rpk grew nearly passenger carried scheduled flight february,1,scheduled measured grew carried scheduled
"The company said that its investments in the new market areas resulted in sales increase in Sweden , Poland , Russia and Lithuania .",positive,company said investment new market area resulted sale increase sweden poland russia lithuania,1,said new resulted sweden
"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",positive,disposal autotank also strengthen aspo capital structure commented gustav nyberg ceo aspo,1,strengthen aspo commented gustav nyberg
"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",positive,earnings per share quarter came eur eur quarter year earlier,1,came eur
The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,positive,economic occupancy rate sponda property portfolio rose,1,economic rose
"The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , has received expansion orders worth a total US$ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders .",positive,finnish supplier bssoss va telecom operator tecnotree received expansion order worth total u mn convergent charging next generation messaging solution latin america company announced without specifying operator placed order,1,finnish tecnotree received total u charging next messaging america announced specifying placed
The group 's 12-month operating profit grew 31 percent to 337.8 million euros .,positive,group month operating profit grew percent million euro,1,grew percent
"The growth in the activeness of Talentum 's customers , which started at the end of 2009 , continued during the reporting period , the company stated .",positive,growth activeness talentum customer started end continued reporting period company stated,1,started continued reporting stated
The growth of net sales in the first half of 2008 has been 28 % compared with the first half of 2007 .,positive,growth net sale first half compared first half,1,net compared first
The pretax profit of the group 's life insurance business increased to EUR 36 million from EUR 27 million .,positive,pretax profit group life insurance business increased eur million eur million,1,pretax increased
The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,positive,pretax profit group life insurance business increased eur eur,1,pretax increased
"The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 .",positive,total delivery volume paper business tonne tonne,1,total
The value of the firm 's forestry holdings increased by SEK 3.6 bn .,positive,value firm forestry holding increased sek bn,1,forestry holding increased
"This new deal has strengthened the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .",positive,new deal strengthened partnership telemig celular tecnomen started since beginning telemig prepaid operation,1,new strengthened celular started beginning
Turnover rose to EUR21m from EUR17m .,positive,turnover rose eur eur,1,rose eur
"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market .",positive,xerox stora enso teamed tailor igen shortrun ondemand packaging market,1,stora teamed ondemand packaging
YIT Construction and the town of Riihim+Æki have signed a lease contract whereby the town will occupy the Travel Centre office facilities .,positive,yit construction town riihimki signed lease contract whereby town occupy travel centre office facility,1,yit signed
"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data .",positive,upgrade intended raise network capacity mhz mhz several city enabling bidirectional service digital television well broadband data,1,intended mhz several enabling bidirectional digital
"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .",positive,lead production turn increase tonne would twofold increase current capacity level zahariev said,1,lead would twofold increase current said
"Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .",positive,separately yit corporation austrian firm e ag last week signed agreement sale e building system service business germany austria poland czech republic hungary romania eur mln,1,yit austrian ag last signed building czech republic hungary
The company intends to raise production capacity in 2006 .,positive,company intends raise production capacity,1,intends raise
"Thereby , the company will expand its offering to North , Central and South America .",positive,thereby company expand offering north central south america,1,expand offering north central
"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka .",positive,member partner use mostly apparent increased efficiency result service observes perttu puro tradeka,1,use apparent increased observes perttu
"Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires , Ordabasy chairman Dinmukhamet Idrisov said at a press conference .",positive,finland nokian tyre kazakhstan ordabasy corporation signed agreement build plant astana produce car tire ordabasy chairman dinmukhamet idrisov said press conference,1,nokian ordabasy signed produce dinmukhamet said
Finnish business software group AffectoGenimap Oyj said it had signed an agreement to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .,positive,finnish business software group affectogenimap oyj said signed agreement acquire share swedish sector company intellibis ab mln euro mln debtfree basis,1,finnish affectogenimap said signed acquire swedish intellibis ab debtfree
"Finnish silicon wafers manufacturer Okmetic Oyj said on June 29 , 2007 it signed an agreement with Nordea Bank Finland Plc , the local subsidiary of Swedish commercial bank Nordea Bank AB , which will refinance Okmetic 's syndicated bank facility which amounts to some 20 mln euro ( $ 26.9 mln ) .",positive,finnish silicon wafer manufacturer okmetic oyj said june signed agreement nordea bank finland plc local subsidiary swedish commercial bank nordea bank ab refinance okmetic syndicated bank facility amount mln euro mln,1,finnish wafer okmetic said signed plc local swedish commercial ab okmetic syndicated mln euro
"Furthermore , Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands .",positive,furthermore bunge also sign licensing agreement sunnuntai carlshamn mejeri brand,1,sign licensing
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,september finnish group agreed buy danish company rose poultry eur combination cash stock,1,september finnish agreed buy danish rose eur
"is planning to expand its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland .",positive,planning expand product portfolio harbor segment chief executive pekka lundmark told financial time deutschland,1,planning chief told financial
"KAUKO-TELKO LTD PRESS RELEASE 19.06.2007 AT 14.00 1 ( 1 ) Telko Group ( Kauko-Telko ) is expanding its strategic partnership with BP Industrial Lubricants & Services ( BP ILS ) by acquiring total ownership of BP 's Swedish retail company , Molub-Alloy AB .",positive,kaukotelko ltd press release telko group kaukotelko expanding strategic partnership bp industrial lubricant service bp il acquiring total ownership bp swedish retail company moluballoy ab,1,kaukotelko expanding strategic bp industrial acquiring total swedish retail
"Production capacity will rise gradually from 170,000 tonnes to 215,000 tonnes .",positive,production capacity rise gradually tonne tonne,1,rise tonne
Ramirent s Danish subsidiary Ramirent A-S has today signed an agreement to acquire the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,positive,ramirent danish subsidiary ramirent today signed agreement acquire business asset machinery rental company jydsk materiel udlejning located west jutland,1,ramirent danish signed acquire rental udlejning located west
"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .",positive,agreement provide switch double converter capacity whilst opening manufacturing location china,1,provide double opening manufacturing
"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",positive,company also said november real estate fund ky signed agreement finnish window maker fenestra oy build window plant forssa southern finland,1,said november real signed fenestra southern
The company has committed to further expanding the Apollo portfolio .,positive,company committed expanding apollo portfolio,1,committed expanding
The contracts have been signed to acquire uranium produced at the Sotkamo nickel-zinc mine in eastern Finland owned by Talvivaara .,positive,contract signed acquire uranium produced sotkamo nickelzinc mine eastern finland owned talvivaara,1,signed acquire produced sotkamo mine eastern owned
"The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 0.43 % at 1,138.84 points on Wednesday .",positive,omx nordic omxn index comprising traded nordic stock nasdaq omx exchange closed point wednesday,1,omx nordic comprising traded nordic closed
"The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 1.29 % at 1,084.47 points on Friday .",positive,omx nordic omxn index comprising traded nordic stock nasdaq omx exchange closed point friday,1,omx nordic comprising traded nordic closed
"Under the terms of the off-take agreement with Talvivaara , Cameco will provide an up-front investment , to a maximum of $ 60 million , to cover the construction cost of the uranium extraction circuit .",positive,term offtake agreement talvivaara cameco provide upfront investment maximum million cover construction cost uranium extraction circuit,1,offtake provide upfront uranium
"Vaisala Oyj Press Release September 30 , 2010 Vaisala has signed a contract to sell its oxygen measurement technology and business to SICK Maihak GmbH .",positive,vaisala oyj press release september vaisala signed contract sell oxygen measurement technology business sick maihak gmbh,1,signed sell sick
"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has signed a China mobile phone dealer financing agreement with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR",positive,beijing xfnasia hong konglisted standard chartered bank said signed china mobile phone dealer financing agreement nokia making first foreign bank offer financing country small medium enterprise lr,1,beijing konglisted standard chartered said signed making first foreign offer financing small
"`` Lidskoe Pivo 's investment program foresees the integrated modernization of production , updating transport and logistics infrastructure and developing new marketing instruments , '' Mikshis said .",positive,lidskoe pivo investment program foresees integrated modernization production updating transport logistics infrastructure developing new marketing instrument mikshis said,1,pivo integrated updating infrastructure developing new said
`` Residentialconstruction in particular has picked up in several markets .,positive,residentialconstruction particular picked several market,1,particular picked several
"After the transaction , Alma Media raised its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",positive,transaction alma medium raised stake talentum share voting right,1,alma raised voting
"As the largest elevator market in the world , Chinese output of elevators continued to rise to 262,000 units in 2009 , up about 5 % yr-on-yr .",positive,largest elevator market world chinese output elevator continued rise unit yronyr,1,largest chinese continued
"Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % .",positive,compared ftse index rose point day relative price change,1,compared ftse rose relative
Componenta increased its stake in Turkish steel company Doktas Dokumculuk Ticaret ve Sanayi A.S. to 92.6 pct stake in March 2007 .,positive,componenta increased stake turkish steel company doktas dokumculuk ticaret sanayi pct stake march,1,increased turkish doktas ticaret
"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 .",positive,earnings per share eps seen eur eur,1,seen eur
Estonia 's beer market overall grew three percent last year to 130 million liters .,positive,estonia beer market overall grew three percent last year million liter,1,overall grew last
Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .,positive,finnish lifting equipment maker konecranes hel kcr v said july raised stake austrian manipulator maker ac konecranes bought german sector player knight europe,1,finnish hel said raised austrian bought german knight
"HELSINKI AFX - KCI Konecranes said it has raised its stake in MMH Holdings Inc , the owner of US-based Morris Materials Handling , to 90.9 pct from 74.5 pct .",positive,helsinki afx kci konecranes said raised stake mmh holding inc owner usbased morris material handling pct pct,1,said raised holding usbased morris handling
It delivers a different user experience and enables us to widen the market we can address . '',positive,delivers different user experience enables u widen market address,1,different user u widen
"ADPnews - Jun 30 , 2009 - Finnish stainless steel maker Outokumpu Oyj HEL : OUT1V said yesterday it signed a three-year EUR 900 million USD 1.3 bn revolving credit facility .",positive,adpnews jun finnish stainless steel maker outokumpu oyj hel v said yesterday signed threeyear eur million usd bn revolving credit facility,1,jun finnish outokumpu oyj said signed threeyear usd revolving
Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .,positive,increase net sale due acquisition swedish silva produce garden tool boat,1,due swedish produce garden
SysOpen Digia had signed an agreement with the main shareholders of Sentera holding in total 77.39 % of the share capital and votes of Sentera .,positive,sysopen digia signed agreement main shareholder sentera holding total share capital vote sentera,1,sysopen signed main holding total
The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .,positive,company plan expand international market subsidiary distributor onwards,1,expand international
"The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said .",positive,decision sell share lenenergo reached line fortum strategic plan invest mainly generating asset russia lenenergo grid company press release said,1,lenenergo reached strategic invest generating grid said
"The equipment will expand container handling capacity at Namibia 's main port of Walvis Bay , on the west coast .",positive,equipment expand container handling capacity namibia main port walvis bay west coast,1,handling main
The expansion includes the doubling of the floor space and the addition of more lifting capacity and production equipment .,positive,expansion includes doubling floor space addition lifting capacity production equipment,1,includes doubling lifting
The Group aims to increase its net sales and comparable operating profit in 2006 .,positive,group aim increase net sale comparable operating profit,1,aim increase net comparable
"The subscriptions increase Cargotec 's share capital by 36,780 euros .",positive,subscription increase cargotec share capital euro,1,
"The subscriptions increase Cargotec 's share capital by EUR 27,060 .",positive,subscription increase cargotec share capital eur,1,
"The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should double Atria Russia 's production capacity in the St Petersburg area .",positive,total area gorelovo plant sq atrium invested euro mn plant double atrium russia production capacity st petersburg area,1,total invested euro double st petersburg
"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market .",positive,launch new g handset nokia aim become winner china g market g market,1,launch new nokia winner china
"Earnings per share ( EPS ) for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04 .",positive,earnings per share eps first quarter amounted eur eur,1,amounted eur
"Operating profit was EUR 11.07 mn , up from EUR 8.65 mn .",positive,operating profit eur mn eur mn,1,
"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market .",positive,significance teleste emphasised large size growing economy well rapid development tv service distribution industry poland viewed attractive market,1,emphasised large growing rapid viewed attractive
"`` We reached agreement with the union that flights will continue as normal , '' Finnair spokesman Usko Maatta said .",positive,reached agreement union flight continue normal finnair spokesman usko maatta said,1,reached continue normal usko said
"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",positive,finland insurance company pohjola finnish motorcyclist association signed agreement aim improving motorcyclist traffic safety,1,pohjola finnish signed improving
"HELSINKI ( AFX ) - Nokian Tyres reported a fourth quarter pretax profit of 61.5 mln eur , up from 48.6 mln on the back of strong sales .",positive,helsinki afx nokian tyre reported fourth quarter pretax profit mln eur mln back strong sale,1,nokian reported fourth pretax strong
"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.18 percent from 23.74 percent , as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters .",positive,kalnapiliotauro grupe kalnapilistauras group owned denmark royal unibrew raised market share percent percent beer sale seven month jumped percent million liter,1,owned raised percent jumped
"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.2 percent from 23.91 percent , as beer sales for the nine months jumped by 11.4 percent to 52.99 million liters .",positive,kalnapiliotauro grupe kalnapilistauras group owned denmark royal unibrew raised market share percent percent beer sale nine month jumped percent million liter,1,owned raised percent jumped
"Marimekko has today ( 20 November ) signed a license agreement with the Swedish chain , whereby Marimekko will license some of its popular patterns from the 1950s , 1960s and 1970s to H&M .",positive,marimekko today november signed license agreement swedish chain whereby marimekko license popular pattern h,1,signed license swedish popular
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,staff recruited japan complement network close service location country worldwide,1,recruited close
Nokian Capacitors ' equipment will be used to raise the capacity and reliability of the Indian grid .,positive,nokian capacitor equipment used raise capacity reliability indian grid,1,nokian used indian
Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland .,positive,rautaruukki corporation stock exchange release december noon ruukki construction engineering division improve adjust operation finland,1,improve
"Ruukki Romania , the local arm of Finnish metal producer Ruukki , increased its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .",positive,ruukki romania local arm finnish metal producer ruukki increased capital euro mln cash contribution reported september,1,romania local finnish increased reported
"STX Finland Oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for Viking Line to manage on between Turku , Finland , and Stockholm , Sweden withViking Line ABP .",positive,stx finland oy signed preliminary agreement building environmentally friendly new generation cruise ferry viking line manage turku finland stockholm sweden withviking line abp,1,signed preliminary building friendly new viking stockholm sweden
The company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive .,positive,company estimate net sale increase considerably operating result clearly positive,1,operating positive
"The tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .",positive,tower chose add due go operation summer increase total capacity broadsheet tabloid page ability run page product side side,1,add due go total tabloid run side
"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year .",positive,uponor made operating profit eur mn eur mn made record year,1,uponor made made
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",positive,basware corporation stock exchange release august basware signed large deal international industrial group basware deliver invoice automation solution connectivity service international industrial group,1,signed large international industrial international industrial
It estimates the operating profit to further improve from the third quarter .,positive,estimate operating profit improve third quarter,1,improve third
Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,positive,kazgiprotsvetmet outotec finland signed agreement strategic cooperation marketing providing mineral processing metallurgical plant related service kazakhstan surrounding country,1,kazgiprotsvetmet outotec signed strategic providing mineral processing metallurgical related surrounding
Lemcon signed an investment cooperation agreement with the Kaluga regional administration last November .,positive,lemcon signed investment cooperation agreement kaluga regional administration last november,1,signed kaluga regional last november
Ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 .,positive,ruukki forecast annual sale growth positive pretax result,1,annual positive
Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,positive,sale rose pct mln eur back strong volume favourable currency effect,1,rose pct mln strong favourable
The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific .,positive,growth net sale continued favourably middle east africaand asia pacific,1,net continued middle east
"The new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from Larox to Etteplan .",positive,new agreement expands longestablished cooperation company involves transfer certain engineering documentation function larox etteplan,1,new expands longestablished involves transfer certain
With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients .,positive,appointment kaupthing bank aim coordinate capital market activity within group improve overall service client,1,kaupthing coordinate improve overall
"To prove the efficiency of the China Mobile system , Rod Baber , an English climber , climbed to the Mount Everest summit and successfully made calls .",positive,prove efficiency china mobile system rod baber english climber climbed mount everest summit successfully made call,1,prove mobile rod english climbed mount everest made
"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US .",positive,finnish ahlstrom corporation double investment new specialty glassfiber reinforcement plant south carolina u,1,finnish double new south u
Sales rose to 300.9 mln eur compared with last year 's 276.1 mln eur and in line with 299 mln eur consensus figure .,positive,sale rose mln eur compared last year mln eur line mln eur consensus figure,1,rose mln compared last mln eur
The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL .,positive,contract signed august papua new guineabased lihir gold ltd asx lgl,1,signed papua new guineabased lihir
"`` Our extensive co-operation will also bolster SysOpen Digia 's position in the domestic operator market , '' Kallioranta adds .",positive,extensive cooperation also bolster sysopen digia position domestic operator market kallioranta add,1,extensive sysopen digia domestic kallioranta add
"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",positive,agreement continue good cooperationand time release capital tied ourmachinery operation,1,continue good tied
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",positive,theodosopoulos said tellabs could value nokia siemens nortel given leading supply status verizon along highgrowth product,1,said could siemens given leading
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",positive,succeeded increasing market share sold apartment comment mr kari kauniskangas head yit international construction service,1,succeeded increasing sold apartment kauniskangas yit international
"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",positive,capman partner able develop business continue focus providing quality restaurant service customer say christopher wynne ceo papa john russia,1,able continue providing say
"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .",positive,finnish suominen corporation specialises wet wipe nonwovens flexible packaging report net sale eur mn second quarter eur mn second quarter,1,finnish specialises wet flexible packaging net mn second second
"Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom .",positive,finnish telecom software developer tecnomen oyj said december mln mln euro order supply expansion charging messaging system mobile fixed network brasil telecom,1,finnish said december euro charging messaging mobile fixed
Increased trust of our clients in YIT can be seen as apartment sales accelerated .,positive,increased trust client yit seen apartment sale accelerated,1,increased seen apartment accelerated
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",positive,adp news dec finnish construction engineering company outotec oyj omx ote v said today eur million usd order expand phosphate concentrator siilinjarvi norwegian minera,1,adp finnish outotec omx said usd norwegian
"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .",positive,mr priit kasak balti metsamasina owner said rakverebased company wish increase valmet market share third couple year,1,said rakverebased wish third
The bank sees a potential for Getinge share to rise .,positive,bank see potential getinge share rise,1,see potential
"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",positive,company recorded revenue e million fiscal year ended december increase,1,recorded fiscal ended
The cooperation will double The Switch 's converter capacity .,positive,cooperation double switch converter capacity,1,double
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,positive,robust growth result inclusion clothing chain lindex group december,1,robust
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,six brewery recorded percent growth domestic beer sale last year million liter million liter sold,1,recorded domestic last liter liter sold
"This truly takes efficiency to new heights , '' Mr. Metso adds .",positive,truly take efficiency new height mr metso add,1,take new
We hope to increase traffic volumes with the opening of Freight One Scandinavia . '',positive,hope increase traffic volume opening freight one scandinavia,1,opening freight
"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .",positive,january ephc board director approved increase quarterly dividend per share,1,january approved increase quarterly
"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been awarded an order for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .",positive,finnish cargotec kalmar business area providing container handling solution awarded order ten eone rubbertyred gantry rtg crane saigon newport company snp vietnam,1,finnish providing handling awarded rubbertyred
"Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",positive,bilfinger investor cheered agreement pushing share euro euro afternoon trade,1,cheered pushing
"Kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers .",positive,kesko pursues strategy healthy focused growth concentrating sale service consumercustomers,1,healthy focused concentrating
"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",positive,london afx share rautaruukki corp upgraded hold sell abn amro price target raised eur said dealer,1,rautaruukki upgraded amro raised said
LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .,positive,london marketwatch nokia nok said fiveyear service contract run hutchison essar network operation nine location india,1,london said fiveyear run
"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE .",positive,progress group qpr representative saudi arabia north africa signed framework agreement long term strategic relationship ise,1,qpr representative arabia north signed long strategic
"Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",positive,ragutis controlled finnish brewery olvi achieved percent rise beer sale million liter held percent market share,1,controlled finnish achieved percent held
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,sq sq ft store copenhagen premier shopping district inaugurated today strengthening company presence nordic capital,1,shopping inaugurated strengthening nordic
"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",positive,metal gained percent year demand china world largest user increased,1,gained percent china largest increased
"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years .",positive,addition cramo peab signed exclusive fiveyear rental agreement finland extended existing rental agreement swedish market another five year,1,signed exclusive fiveyear rental extended existing rental swedish
"OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market .",positive,outotec oyj press release december outotec establishes new subsidiary kolkata outotec established subsidiary india order better serve indian customer increase business growing indian market,1,outotec oyj establishes new outotec established indian growing indian
